u,v,key,osmid,name,highway,length,access,width,geometry
83836164,83884123,0,37222257,Woodside Avenue,residential,132.64098193723405,destination,,"LINESTRING (-111.500902 40.648688, -111.50181 40.649662)"
83836164,83836166,0,963638382,10th Street,residential,63.00359192761257,destination,,"LINESTRING (-111.500902 40.648688, -111.500821 40.64873, -111.500388 40.648972, -111.500374 40.64898, -111.5003 40.649022)"
83836164,83884121,0,963638383,Woodside Avenue,residential,228.33283206252753,destination,,"LINESTRING (-111.500902 40.648688, -111.500582 40.648343, -111.500357 40.648094, -111.500048 40.647762, -111.499693 40.647311, -111.499424 40.64697)"
83836166,83892450,0,1213742597,Park Avenue,tertiary,131.54884397773375,,,"LINESTRING (-111.5003 40.649022, -111.501203 40.649987)"
83836166,10542782474,0,1213742597,Park Avenue,tertiary,2.3918305121803667,,,"LINESTRING (-111.5003 40.649022, -111.500285 40.649004)"
83836166,83836164,0,963638382,10th Street,residential,63.00359192761257,destination,,"LINESTRING (-111.5003 40.649022, -111.500374 40.64898, -111.500388 40.648972, -111.500821 40.64873, -111.500902 40.648688)"
83840176,6266476395,0,669191475,Piper Way,residential,43.183267848640845,,,"LINESTRING (-111.461728 40.673695, -111.461778 40.673309)"
83840176,485568254,0,1074411311,Richardson Flat Road,tertiary,48.5307793685171,,,"LINESTRING (-111.461728 40.673695, -111.461155 40.673655)"
83840176,83840178,0,1074411311,Richardson Flat Road,tertiary,123.5192165091955,,,"LINESTRING (-111.461728 40.673695, -111.462038 40.673727, -111.462425 40.673757, -111.462805 40.673784, -111.463185 40.673808)"
83840178,6266476391,0,669191477,Ledger Way,residential,184.3252380983228,,,"LINESTRING (-111.463185 40.673808, -111.463218 40.67341, -111.463226 40.673339, -111.463286 40.67295, -111.463372 40.6727, -111.463384 40.672668, -111.46344 40.672555, -111.463486 40.672484, -111.463587 40.672324, -111.463661 40.67221)"
83840178,83840176,0,1074411311,Richardson Flat Road,tertiary,123.51921650919553,,,"LINESTRING (-111.463185 40.673808, -111.462805 40.673784, -111.462425 40.673757, -111.462038 40.673727, -111.461728 40.673695)"
83840178,83840182,0,1074411311,Richardson Flat Road,tertiary,101.36427848942678,,,"LINESTRING (-111.463185 40.673808, -111.463488 40.673821, -111.463791 40.673831, -111.464089 40.673836, -111.464386 40.673839)"
83840182,2623039877,0,"[661225417, 661225419, 661225421, 661225422, 988789981]",Union Pacific Rail Trail,cycleway,846.7515478857144,,,"LINESTRING (-111.464386 40.673839, -111.464434 40.673807, -111.464455 40.673793, -111.464736 40.673605, -111.465614 40.673206, -111.465867 40.673108, -111.468334 40.672372, -111.470407 40.671731, -111.470457 40.671715, -111.47057 40.67168, -111.470901 40.671578, -111.473073 40.670945, -111.473227 40.6709, -111.473554 40.670804)"
83840182,10068207078,0,661225417,Union Pacific Rail Trail,cycleway,17.716837627008474,,,"LINESTRING (-111.464386 40.673839, -111.464316 40.673899, -111.464247 40.673958)"
83840182,83840178,0,1074411311,Richardson Flat Road,tertiary,101.3642784894268,,,"LINESTRING (-111.464386 40.673839, -111.464089 40.673836, -111.463791 40.673831, -111.463488 40.673821, -111.463185 40.673808)"
83840182,10229467818,0,1074411311,Richardson Flat Road,tertiary,275.4044647864443,,,"LINESTRING (-111.464386 40.673839, -111.466393 40.673858, -111.466525 40.673859, -111.466649 40.673866, -111.466772 40.673878, -111.466899 40.673896, -111.467024 40.673919, -111.467223 40.673957, -111.467421 40.674, -111.46762 40.67405)"
