trail_name,sampled_length_miles,topography_sample_count,minimum_elevation_feet,maximum_elevation_feet,mean_elevation_feet,elevation_range_feet,mean_slope_degrees,median_slope_degrees,maximum_slope_degrees,north_facing_pct,east_facing_pct,south_facing_pct,west_facing_pct,final_area,latitude,longitude,distance_miles,source
Super G,0.4,34,8867.6,8997.5,8939.8,129.9,15.7,15.0,27.9,5.9,94.1,0.0,0.0,Deer Valley,40.6078734147108,-111.486644562986,0.3831876068562151,OpenStreetMap
T&G,1.2,105,8586.9,8760.0,8673.3,173.1,16.7,19.3,29.1,19.0,9.5,34.3,37.1,Deer Valley,40.611941402305575,-111.51506977898008,1.171813181876456,OpenStreetMap
T&G 2,0.9,76,8357.2,8729.4,8599.5,372.2,20.7,23.5,35.6,2.6,0.0,42.1,55.3,Deer Valley,40.62089143656375,-111.51568549288604,0.8802221814285119,OpenStreetMap
TDS Ontario Bypass,1.0,96,7719.2,8043.7,7889.0,324.6,16.0,15.1,26.9,0.0,2.1,35.4,62.5,Deer Valley,40.62591563844938,-111.49801252893096,1.037508653361462,OpenStreetMap
Tall T Trail,4.4,352,8733.0,9353.0,9033.3,620.0,18.9,19.0,34.3,27.0,2.8,28.7,41.5,Deer Valley,40.59029104976929,-111.52734087474852,4.352617378773826,OpenStreetMap
Team Big Bear,1.3,109,8332.9,8855.8,8610.0,523.0,15.5,15.9,23.1,0.0,13.8,68.8,17.4,Deer Valley,40.61639926546102,-111.50010669410356,1.3024219896641782,OpenStreetMap
The Lookout,1.7,142,7338.4,8054.6,7693.2,716.2,27.6,27.5,44.1,0.0,87.3,12.7,0.0,Deer Valley,40.62921554675458,-111.4942829189022,1.7177592510969846,OpenStreetMap
Thieves Forest,0.5,40,8441.5,8810.3,8597.7,368.8,19.6,20.1,27.0,0.0,2.5,90.0,7.5,Deer Valley,40.61553068086176,-111.48245627012813,0.4597863087011359,OpenStreetMap
Thieves Forrest,0.3,29,8820.3,9276.0,9072.7,455.8,18.5,18.9,29.1,0.0,0.0,89.7,10.3,Deer Valley,40.611364491739,-111.4804590615015,0.3469987341799864,OpenStreetMap
Tidal Wave,2.7,242,8128.2,9286.4,8737.9,1158.2,20.0,21.7,33.5,3.3,55.8,23.1,17.8,Deer Valley,40.610548014761406,-111.48897388892838,2.7311391080231746,OpenStreetMap
Tour De Homes,1.4,113,7579.1,8120.3,7813.1,541.3,12.5,12.9,23.4,0.9,36.3,58.4,4.4,Deer Valley,40.63205110837411,-111.48826887414292,1.36089813866567,OpenStreetMap
Tour De Suds (Upper),0.7,63,8407.1,8694.1,8563.5,287.1,17.1,16.8,24.3,0.0,74.6,25.4,0.0,Deer Valley,40.614682713092186,-111.50609195133156,0.7440585696126766,OpenStreetMap
Trappers Gate,0.5,44,7434.8,7486.1,7462.8,51.3,27.4,30.8,36.0,0.0,50.0,20.5,29.5,Deer Valley,40.63197509989361,-111.497026036245,0.4879857314945335,OpenStreetMap
Tricky Pickle Trail,2.6,212,8268.2,8873.6,8532.5,605.5,20.0,22.3,31.9,21.7,70.8,0.9,6.6,Deer Valley,40.59197973531048,-111.49789592532872,2.5701418550664723,OpenStreetMap
Trump,0.6,60,8585.9,8974.3,8771.6,388.4,9.3,8.1,20.4,1.7,0.0,26.7,71.7,Deer Valley,40.60903529522874,-111.4964159868453,0.5784024842211413,OpenStreetMap
Tsunami,1.2,103,8508.1,8991.5,8747.8,483.4,18.1,17.6,28.8,0.0,72.8,27.2,0.0,Deer Valley,40.61166268615432,-111.48706860055302,1.1999183763390222,OpenStreetMap
Tug of War Trail,1.4,120,8867.6,9065.0,8962.3,197.4,16.3,16.3,25.0,52.5,23.3,23.3,0.8,Deer Valley,40.60218815889535,-111.4963014769127,1.4424412389498933,OpenStreetMap
Twist & Shout,0.2,20,8324.5,8505.1,8415.6,180.6,26.0,26.7,29.2,0.0,100.0,0.0,0.0,Deer Valley,40.61590669002216,-111.48826576454944,0.2243572359686889,OpenStreetMap
Twist and Shout,1.0,91,8512.5,9065.3,8799.9,552.8,17.9,18.6,28.0,0.0,81.3,18.7,0.0,Deer Valley,40.61146669404505,-111.486662413967,1.0479731959059362,OpenStreetMap
Undertow Trail,1.9,165,7530.0,8350.2,7937.9,820.2,21.8,23.2,30.8,0.0,38.8,57.0,4.2,Deer Valley,40.63057046785135,-111.47858549886824,1.933095693550621,OpenStreetMap
Upper Devo Trail,0.2,18,8012.6,8210.0,8097.8,197.4,15.1,15.6,18.3,0.0,0.0,100.0,0.0,Deer Valley,40.62826200901757,-111.4850494481263,0.2028942905269994,OpenStreetMap
Village Pipeline Connector,0.2,15,7292.7,7375.4,7336.8,82.7,22.1,23.7,27.5,6.7,0.0,20.0,73.3,Deer Valley,40.6391093200599,-111.472490526811,0.166308776565325,OpenStreetMap
Village Trail,0.2,14,7292.7,7333.1,7315.2,40.5,22.8,24.0,27.5,21.4,0.0,0.0,78.6,Deer Valley,40.64077448423082,-111.47113665558776,0.1534191074692529,OpenStreetMap
Village Trail / Pipeline,0.5,43,7071.0,7292.7,7182.6,221.6,17.4,17.6,27.5,9.3,0.0,25.6,65.1,Deer Valley,40.64110752434245,-111.46934147070748,0.52111694609496,OpenStreetMap
WOW (Wasatch Over Wasatch) Trail,2.7,226,8125.9,8428.2,8248.2,302.2,11.4,10.0,31.9,57.1,9.7,5.3,27.9,Deer Valley,40.585198990338895,-111.50729227137398,2.724885927251763,OpenStreetMap
Woodside Gulch,0.8,71,7305.3,7977.5,7635.5,672.2,22.8,24.0,31.3,46.5,0.0,2.8,50.7,Deer Valley,40.63428272582461,-111.50200856347875,0.7807538495211426,OpenStreetMap
Wowza Downhill Trail,0.9,78,8378.1,8738.8,8564.8,360.7,10.4,10.8,21.9,55.1,10.3,1.3,33.3,Deer Valley,40.58677474689952,-111.51626735679228,0.9481679762853356,OpenStreetMap
Wowza Trail,1.2,96,8375.1,8733.0,8552.8,357.9,12.1,11.9,25.4,10.4,1.0,31.2,57.3,Deer Valley,40.58754867198866,-111.51557993987645,1.1719245515390433,OpenStreetMap
24-7,5.1,422,6216.2,6897.6,6689.5,681.4,17.7,17.7,33.3,43.4,37.0,19.4,0.2,Jeremy Ranch / Glenwild,40.7580938928905,-111.55747502780672,5.084483602728426,OpenStreetMap
Abilene Way,0.5,41,6439.2,6463.1,6454.0,23.9,1.2,1.0,2.4,0.0,0.0,56.1,43.9,Jeremy Ranch / Glenwild,40.705162592888,-111.52848253655898,0.4874400594837326,OpenStreetMap
Ambush,1.6,137,7418.5,8136.4,7757.7,717.9,25.9,26.8,35.6,21.2,0.0,24.8,54.0,Jeremy Ranch / Glenwild,40.694225906082366,-111.58181443950004,1.648773485207604,OpenStreetMap
Ant Farm,0.5,44,6534.5,6747.2,6629.0,212.7,11.9,12.8,18.9,0.0,6.8,93.2,0.0,Jeremy Ranch / Glenwild,40.74632495230274,-111.55092174051572,0.5235766481813493,OpenStreetMap
BLT,0.8,68,6827.5,6989.0,6927.9,161.5,17.6,17.3,29.1,23.5,8.8,0.0,67.6,Jeremy Ranch / Glenwild,40.71492142685356,-111.56084442077211,0.812395000903706,OpenStreetMap
Bad Apple,0.7,59,6279.5,6445.1,6367.9,165.6,14.4,13.4,26.1,15.3,32.2,44.1,8.5,Jeremy Ranch / Glenwild,40.74937514368386,-111.56017979748744,0.6500921715377702,OpenStreetMap
Blackhawk Trail,2.5,210,6347.6,6739.8,6536.5,392.2,16.6,16.7,28.9,74.3,21.4,0.0,4.3,Jeremy Ranch / Glenwild,40.73111252615939,-111.53542276920604,2.454270549879213,OpenStreetMap
Cobblestone Loop,0.8,68,6740.4,6867.4,6805.4,127.0,15.5,17.3,28.1,26.5,4.4,0.0,69.1,Jeremy Ranch / Glenwild,40.75845647840704,-111.52582619388934,0.8282548943661749,OpenStreetMap
