trail_name,final_area,latitude,longitude,distance_miles,segment_count,node_count,source,review_notes
Legacy Ridge,Jeremy Ranch / Glenwild,40.70648419743829,-111.5603960205038,0.4942346051091288,1,2,OpenStreetMap,
Legacy. Loop,Jeremy Ranch / Glenwild,40.70737188748682,-111.5599210439625,0.3709751000415134,3,4,OpenStreetMap,
Miss Billy's,Jeremy Ranch / Glenwild,40.69127466685039,-111.54016400735836,1.081904915000023,11,11,OpenStreetMap,
Mountain Ranch,Jeremy Ranch / Glenwild,40.719482563829935,-111.5082007499112,0.1871364768926466,1,2,OpenStreetMap,
North 400 West,Jeremy Ranch / Glenwild,40.70279368500318,-111.51897621463831,0.4898579521444969,1,2,OpenStreetMap,
Preserve Connector,Jeremy Ranch / Glenwild,40.76330147562161,-111.54585203221042,0.923971673887967,1,2,OpenStreetMap,
RTS,Jeremy Ranch / Glenwild,40.71664642216084,-111.55523569599896,2.5792028251408645,18,17,OpenStreetMap,
RTS / BLT,Jeremy Ranch / Glenwild,40.71544842193981,-111.5580228733734,0.3549339694146537,1,2,OpenStreetMap,
Short Cut,Jeremy Ranch / Glenwild,40.68025862222409,-111.57883598783349,0.9264544503510076,1,2,OpenStreetMap,
Stealth Connector / Pheasant Way,Jeremy Ranch / Glenwild,40.73167942348123,-111.54708752211994,0.2537640804940234,1,2,OpenStreetMap,
Stealth Trail,Jeremy Ranch / Glenwild,40.73631275924013,-111.5447596003018,2.311077272526553,9,10,OpenStreetMap,
Team Cutthroat Downhill,Jeremy Ranch / Glenwild,40.74619331694971,-111.55242052130288,0.3422325804737415,1,2,OpenStreetMap,
The Graduate,Jeremy Ranch / Glenwild,40.7534431855279,-111.56237742796368,0.7069880473321413,5,6,OpenStreetMap,
Winchester Trail,Jeremy Ranch / Glenwild,40.71094932830698,-111.54449441430567,0.2434703478411478,1,2,OpenStreetMap,
An Unexpected Journey Trail,Jordanelle,40.584095263003086,-111.41492155800285,0.6097309546769157,1,2,OpenStreetMap,
Beep Beep Trail,Jordanelle,40.59039066618902,-111.4033797731244,1.544574065330985,3,4,OpenStreetMap,
Big Dipper,Jordanelle,40.66018548005414,-111.43175307695702,2.150852926658403,1,2,OpenStreetMap,
Constellation Trail,Jordanelle,40.6428753631073,-111.43505033038012,0.6966569774617706,1,2,OpenStreetMap,
Coyote Loop Trail,Jordanelle,40.58676467246392,-111.40272629625528,0.7495610202043609,1,2,OpenStreetMap,
Deep Park Circle,Jordanelle,40.626894083286025,-111.43587347972714,0.1506330714576121,1,2,OpenStreetMap,
Jordanelle (West Bank) Trail,Jordanelle,40.63639192686843,-111.4311179892118,2.3115618395412643,8,9,OpenStreetMap,
Jordanelle Perimeter Trail,Jordanelle,40.633349610731685,-111.4121970547725,9.288208231184122,12,13,OpenStreetMap,
Kaboom Trail / Call Sign Casa Trail,Jordanelle,40.62794719612903,-111.45468580169128,1.1339625494783907,1,2,OpenStreetMap,
Keetley,Jordanelle,40.6438983646529,-111.4097274639112,0.9241192040692142,1,2,OpenStreetMap,
Longview,Jordanelle,40.65785550770212,-111.4151527495857,0.2990694202291336,1,2,OpenStreetMap,
Looney Tunes Trail,Jordanelle,40.58370423178651,-111.40605522395904,1.2149332537913544,1,2,OpenStreetMap,
Milky Way,Jordanelle,40.65767372971338,-111.43373089841624,1.2128282786264954,1,2,OpenStreetMap,
Milky Way / Two Rocks,Jordanelle,40.66056479638159,-111.42608338059031,0.4980221542265608,1,2,OpenStreetMap,
North Ross Creek Trail,Jordanelle,40.66585897507511,-111.42082357173696,0.8483496767419276,1,2,OpenStreetMap,
Oh Deer Flow,Jordanelle,40.66237367218405,-111.42118550237925,0.612800950513697,1,2,OpenStreetMap,
Putty Tat Trail,Jordanelle,40.59267845848291,-111.40267007297948,0.5716105826740486,2,3,OpenStreetMap,
Riverview West Trail,Jordanelle,40.58565113588149,-111.41386481977428,1.8207027453567053,5,6,OpenStreetMap,
Skyridge Peak Trail / Milky Way,Jordanelle,40.65984634182248,-111.4368345884266,1.1880734420167751,1,2,OpenStreetMap,
Sven,Jordanelle,40.66216079919324,-111.41880056586604,0.1209209035330993,3,4,OpenStreetMap,
Tideline,Jordanelle,40.64171272429878,-111.40053564270964,0.1156865066044314,2,3,OpenStreetMap,
Tweety Bird Trail,Jordanelle,40.59084253440856,-111.40816741687898,0.6642941640675584,1,2,OpenStreetMap,
Wada Way,Jordanelle,40.65139897157171,-111.41292348157292,1.6600420391582622,3,4,OpenStreetMap,
We'll Go From There,Jordanelle,40.633559740125165,-111.4528915193202,0.1478023793008544,1,2,OpenStreetMap,
You Get It,Jordanelle,40.63417280890808,-111.45447628262694,0.483350030265907,2,3,OpenStreetMap,
9K Trail,Park City / PCMR,40.61454424262402,-111.5340694590712,5.767282904473127,13,14,OpenStreetMap,
Alta-Brighton Trail,Park City / PCMR,40.59874189108338,-111.5904390735144,0.9015372231824904,1,2,OpenStreetMap,
Apex,Park City / PCMR,40.62520958876211,-111.53395003281469,2.200414655117812,6,7,OpenStreetMap,
Armstrong,Park City / PCMR,40.65248508262897,-111.52994268919429,3.8278321903815673,3,4,OpenStreetMap,
Blazing Saddle,Park City / PCMR,40.61652898868821,-111.55635878361066,0.6851559960428182,2,3,OpenStreetMap,
