date,trail_name,trail_latitude,trail_longitude,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precip_1d,precip_3d,precip_7d,mean_temp_3d,mean_temp_7d,freeze_thaw,freeze_thaw_3d,freeze_thaw_7d,snowfall_3d,snowfall_7d,days_since_precip,distance_miles,minimum_elevation_feet,maximum_elevation_feet,elevation_gain_feet,elevation_loss_feet,elevation_range_feet,sample_count
2023-01-03,Solamere,40.65173099999999,-111.472688,23.9,15.1,20.1,0.087,0.0,0.606,0.087,1.5,1.5,23.3,23.3,0,0.0,0.0,10.472,10.472,0,0.4,7231.7,7422.9,178.9,29.9,191.2,32
2023-01-03,Spiro Trail,40.64795199999999,-111.524792,19.8,13.6,17.2,0.15,0.004,1.02,0.15,1.9689999999999999,1.9689999999999999,21.366666666666664,21.366666666666664,0,0.0,0.0,13.751999999999999,13.751999999999999,0,3.1,6935.6,8185.2,1283.2,48.2,1249.6,250
2023-01-03,Tidal Wave,40.61150069999999,-111.4904225,18.5,13.3,16.5,0.169,0.008,1.13,0.169,2.09,2.09,20.599999999999998,20.599999999999998,0,0.0,0.0,14.578000000000001,14.578000000000001,0,2.7,8128.9,9254.0,5.3,1120.5,1125.1,217
2023-01-04,9K Trail,40.6156847,-111.5370738,18.4,6.4,12.9,0.004,0.0,0.028,0.004,0.488,2.149,13.799999999999999,16.725,0,0.0,0.0,3.445,15.075000000000001,1,4.7,9101.3,9443.5,623.0,487.0,342.2,383
2023-01-04,Apex,40.6249077,-111.5331572,18.9,6.9,13.4,0.004,0.0,0.028,0.004,0.488,2.149,14.333333333333334,17.275000000000002,0,0.0,0.0,3.445,15.075000000000001,1,2.2,8754.8,9605.0,33.7,843.5,850.2,179
2023-01-04,Armstrong,40.6520798,-111.52831220000002,22.7,11.4,17.3,0.0,0.0,0.0,0.0,0.315,1.9689999999999999,19.766666666666666,22.05,0,0.0,0.0,2.177,13.751999999999999,1,3.0,6947.7,7900.9,10.6,956.3,953.2,243
2023-01-04,Big Easy,40.68756230000001,-111.4890656,29.9,12.9,18.5,0.004,0.0,0.028,0.004,0.291,1.657,20.599999999999998,22.375,0,0.0,0.0,2.04,11.603,1,1.2,6758.6,6824.3,86.4,30.1,65.6,94
2023-01-04,CMG,40.64492680000001,-111.5159166,20.5,9.1,15.1,0.0,0.0,0.0,0.0,0.315,1.9689999999999999,17.533333333333335,19.8,0,0.0,0.0,2.177,13.751999999999999,1,2.9,7013.4,8235.3,3.6,1214.5,1221.9,238
2023-01-04,Cyn City,40.62087939999999,-111.5211681,17.9,6.6,12.5,0.0,0.0,0.0,0.0,0.315,1.9689999999999999,14.933333333333332,17.225,0,0.0,0.0,2.177,13.751999999999999,1,2.6,8371.9,9047.9,11.3,675.5,676.0,212
2023-01-04,Empire Link,40.624661,-111.5080778,22.7,9.7,15.5,0.0,0.0,0.0,0.0,0.362,2.09,18.2,20.45,0,0.0,0.0,2.48,14.578000000000001,1,2.2,7855.6,8275.8,544.3,208.7,420.2,179
2023-01-04,Flagstaff Loop,40.60789630000001,-111.4971378,19.6,6.6,12.4,0.0,0.0,0.0,0.0,0.362,2.09,15.1,17.35,0,0.0,0.0,2.48,14.578000000000001,1,2.2,8782.4,8935.8,230.3,236.2,153.4,181
2023-01-04,Jenni's Trail upper,40.6395667,-111.5112078,24.0,11.0,16.8,0.0,0.0,0.0,0.0,0.362,2.09,19.5,21.75,0,0.0,0.0,2.48,14.578000000000001,1,3.1,7491.0,8170.4,150.1,805.3,679.5,253
2023-01-04,Keystone Trail,40.62398249999998,-111.5280761,19.7,7.7,14.2,0.004,0.0,0.028,0.004,0.488,2.149,15.133333333333333,18.075,0,0.0,0.0,3.445,15.075000000000001,1,2.6,8568.0,9029.7,99.2,553.8,461.7,211
2023-01-04,Lost Prospector,40.65901600000001,-111.490176,29.2,12.2,17.7,0.004,0.0,0.028,0.004,0.291,1.657,19.833333333333332,21.6,0,0.0,0.0,2.04,11.603,1,3.2,6868.8,7160.7,336.0,271.2,291.9,256
2023-01-04,Mid-Mountain Trail,40.62806400000001,-111.51399,19.3,7.9,13.9,0.0,0.0,0.0,0.0,0.315,1.9689999999999999,16.3,18.575,0,0.0,0.0,2.177,13.751999999999999,1,7.4,8096.5,8520.7,868.9,751.7,424.2,597
2023-01-04,Mother Urban,40.63643319999999,-111.5009833,24.0,11.0,16.8,0.0,0.0,0.0,0.0,0.362,2.09,19.5,21.75,0,0.0,0.0,2.48,14.578000000000001,1,2.4,7664.3,8279.0,46.4,639.4,614.7,192
2023-01-04,Rambler,40.69544569999999,-111.4874682,30.0,13.0,18.6,0.004,0.0,0.028,0.004,0.291,1.657,20.666666666666668,22.425,0,0.0,0.0,2.04,11.603,1,2.1,6766.9,7064.2,131.3,319.7,297.3,167
2023-01-04,Ripple Trail,40.63461739999999,-111.47774560000002,24.0,11.0,16.8,0.0,0.0,0.0,0.0,0.362,2.09,19.5,21.75,0,0.0,0.0,2.48,14.578000000000001,1,2.3,7239.6,7860.8,5.0,621.8,621.3,189
2023-01-04,Round Valley Express,40.68866779999999,-111.4899257,29.8,12.8,18.4,0.004,0.0,0.028,0.004,0.291,1.657,20.466666666666665,22.225,0,0.0,0.0,2.04,11.603,1,1.3,6716.9,6963.5,250.4,26.0,246.6,104
2023-01-04,Solamere,40.65173099999999,-111.472688,26.0,13.4,17.9,0.0,0.0,0.0,0.0,0.252,1.5,20.0,21.95,0,0.0,0.0,1.763,10.472,1,0.4,7231.7,7422.9,178.9,29.9,191.2,32
2023-01-04,Spiro Trail,40.64795199999999,-111.524792,20.5,9.1,15.1,0.0,0.0,0.0,0.0,0.315,1.9689999999999999,17.533333333333335,19.8,0,0.0,0.0,2.177,13.751999999999999,1,3.1,6935.6,8185.2,1283.2,48.2,1249.6,250
2023-01-04,Tidal Wave,40.61150069999999,-111.4904225,21.2,8.2,14.0,0.0,0.0,0.0,0.0,0.362,2.09,16.7,18.95,0,0.0,0.0,2.48,14.578000000000001,1,2.7,8128.9,9254.0,5.3,1120.5,1125.1,217
2023-01-05,9K Trail,40.6156847,-111.5370738,25.5,19.4,23.3,0.197,0.004,1.35,0.197,0.366,2.346,16.066666666666666,18.04,0,0.0,0.0,2.535,16.425,0,4.7,9101.3,9443.5,623.0,487.0,342.2,383
2023-01-05,Apex,40.6249077,-111.5331572,26.0,19.9,23.8,0.197,0.004,1.35,0.197,0.366,2.346,16.566666666666666,18.580000000000002,0,0.0,0.0,2.535,16.425,0,2.2,8754.8,9605.0,33.7,843.5,850.2,179
2023-01-05,Armstrong,40.6520798,-111.52831220000002,30.4,20.6,25.8,0.189,0.0,1.35,0.189,0.33899999999999997,2.158,20.866666666666667,22.8,0,0.0,0.0,2.37,15.102,0,3.0,6947.7,7900.9,10.6,956.3,953.2,243
2023-01-05,Big Easy,40.68756230000001,-111.4890656,31.4,17.3,24.1,0.13,0.0,0.909,0.13,0.256,1.7870000000000001,21.133333333333333,22.72,0,0.0,0.0,1.819,12.512,0,1.2,6758.6,6824.3,86.4,30.1,65.6,94
2023-01-05,CMG,40.64492680000001,-111.5159166,28.1,18.3,23.6,0.189,0.0,1.35,0.189,0.33899999999999997,2.158,18.633333333333333,20.560000000000002,0,0.0,0.0,2.37,15.102,0,2.9,7013.4,8235.3,3.6,1214.5,1221.9,238
2023-01-05,Cyn City,40.62087939999999,-111.5211681,25.5,15.7,21.0,0.189,0.0,1.35,0.189,0.33899999999999997,2.158,16.03333333333333,17.98,0,0.0,0.0,2.37,15.102,0,2.6,8371.9,9047.9,11.3,675.5,676.0,212
2023-01-05,Empire Link,40.624661,-111.5080778,27.0,16.6,23.0,0.232,0.0,1.626,0.232,0.401,2.322,18.833333333333332,20.96,0,0.0,0.0,2.756,16.204,0,2.2,7855.6,8275.8,544.3,208.7,420.2,179
2023-01-05,Flagstaff Loop,40.60789630000001,-111.4971378,23.9,13.5,19.9,0.232,0.0,1.626,0.232,0.401,2.322,15.733333333333334,17.86,0,0.0,0.0,2.756,16.204,0,2.2,8782.4,8935.8,230.3,236.2,153.4,181
2023-01-05,Jenni's Trail upper,40.6395667,-111.5112078,28.3,17.9,24.3,0.232,0.0,1.626,0.232,0.401,2.322,20.133333333333336,22.259999999999998,0,0.0,0.0,2.756,16.204,0,3.1,7491.0,8170.4,150.1,805.3,679.5,253
2023-01-05,Keystone Trail,40.62398249999998,-111.5280761,26.8,20.7,24.6,0.197,0.004,1.35,0.197,0.366,2.346,17.366666666666667,19.380000000000003,0,0.0,0.0,2.535,16.425,0,2.6,8568.0,9029.7,99.2,553.8,461.7,211
2023-01-05,Lost Prospector,40.65901600000001,-111.490176,30.6,16.5,23.4,0.13,0.0,0.909,0.13,0.256,1.7870000000000001,20.4,21.96,0,0.0,0.0,1.819,12.512,0,3.2,6868.8,7160.7,336.0,271.2,291.9,256
2023-01-05,Mid-Mountain Trail,40.62806400000001,-111.51399,26.9,17.1,22.4,0.189,0.0,1.35,0.189,0.33899999999999997,2.158,17.433333333333334,19.339999999999996,0,0.0,0.0,2.37,15.102,0,7.4,8096.5,8520.7,868.9,751.7,424.2,597
2023-01-05,Mother Urban,40.63643319999999,-111.5009833,28.3,17.9,24.3,0.232,0.0,1.626,0.232,0.401,2.322,20.133333333333336,22.259999999999998,0,0.0,0.0,2.756,16.204,0,2.4,7664.3,8279.0,46.4,639.4,614.7,192
2023-01-05,Rambler,40.69544569999999,-111.4874682,31.5,17.3,24.2,0.13,0.0,0.909,0.13,0.256,1.7870000000000001,21.23333333333333,22.78,0,0.0,0.0,1.819,12.512,0,2.1,6766.9,7064.2,131.3,319.7,297.3,167
2023-01-05,Ripple Trail,40.63461739999999,-111.47774560000002,28.3,17.9,24.3,0.232,0.0,1.626,0.232,0.401,2.322,20.133333333333336,22.259999999999998,0,0.0,0.0,2.756,16.204,0,2.3,7239.6,7860.8,5.0,621.8,621.3,189
2023-01-05,Round Valley Express,40.68866779999999,-111.4899257,31.3,17.1,24.0,0.13,0.0,0.909,0.13,0.256,1.7870000000000001,21.03333333333333,22.580000000000002,0,0.0,0.0,1.819,12.512,0,1.3,6716.9,6963.5,250.4,26.0,246.6,104
2023-01-05,Solamere,40.65173099999999,-111.472688,29.8,13.9,22.0,0.165,0.0,1.157,0.165,0.252,1.665,20.0,21.96,0,0.0,0.0,1.763,11.629,0,0.4,7231.7,7422.9,178.9,29.9,191.2,32
2023-01-05,Spiro Trail,40.64795199999999,-111.524792,28.1,18.3,23.6,0.189,0.0,1.35,0.189,0.33899999999999997,2.158,18.633333333333333,20.560000000000002,0,0.0,0.0,2.37,15.102,0,3.1,6935.6,8185.2,1283.2,48.2,1249.6,250
2023-01-05,Tidal Wave,40.61150069999999,-111.4904225,25.5,15.1,21.5,0.232,0.0,1.626,0.232,0.401,2.322,17.333333333333332,19.46,0,0.0,0.0,2.756,16.204,0,2.7,8128.9,9254.0,5.3,1120.5,1125.1,217
2023-01-06,9K Trail,40.6156847,-111.5370738,21.8,19.2,20.5,0.657,0.0,4.602,0.657,0.858,3.003,18.900000000000002,18.45,0,0.0,0.0,5.98,21.027,0,4.7,9101.3,9443.5,623.0,487.0,342.2,383
2023-01-06,Apex,40.6249077,-111.5331572,22.3,19.7,21.1,0.657,0.0,4.602,0.657,0.858,3.003,19.433333333333334,19.0,0,0.0,0.0,5.98,21.027,0,2.2,8754.8,9605.0,33.7,843.5,850.2,179
2023-01-06,Armstrong,40.6520798,-111.52831220000002,28.4,23.3,26.3,0.398,0.0,2.811,0.398,0.587,2.556,23.133333333333336,23.383333333333336,0,0.0,0.0,4.161,17.913,0,3.0,6947.7,7900.9,10.6,956.3,953.2,243
2023-01-06,Big Easy,40.68756230000001,-111.4890656,30.6,24.4,27.2,0.177,0.0,1.24,0.177,0.311,1.9640000000000002,23.266666666666666,23.46666666666667,0,0.0,0.0,2.177,13.752,0,1.2,6758.6,6824.3,86.4,30.1,65.6,94
2023-01-06,CMG,40.64492680000001,-111.5159166,26.2,21.0,24.0,0.398,0.0,2.811,0.398,0.587,2.556,20.900000000000002,21.133333333333336,0,0.0,0.0,4.161,17.913,0,2.9,7013.4,8235.3,3.6,1214.5,1221.9,238
2023-01-06,Cyn City,40.62087939999999,-111.5211681,23.6,18.4,21.5,0.398,0.0,2.811,0.398,0.587,2.556,18.333333333333332,18.566666666666666,0,0.0,0.0,4.161,17.913,0,2.6,8371.9,9047.9,11.3,675.5,676.0,212
2023-01-06,Empire Link,40.624661,-111.5080778,26.1,20.5,23.6,0.437,0.0,3.059,0.437,0.669,2.759,20.700000000000003,21.400000000000002,0,0.0,0.0,4.6850000000000005,19.263,0,2.2,7855.6,8275.8,544.3,208.7,420.2,179
