trail_name,final_area,latitude,longitude,mean_elevation_feet,latitude_grid,longitude_grid,elevation_band,weather_group_key,weather_group_id,representative_latitude,representative_longitude,representative_elevation_feet,trail_count,minimum_elevation_feet,maximum_elevation_feet,elevation_difference_from_group_feet
Thieves Forrest,Deer Valley,40.611364491739,-111.4804590615015,9072.7,1624,-3717,18,1624_-3717_18,WG014,40.60622522843789,-111.48265166343101,9046.5,2,9020.3,9072.7,26.200000000000728
Empire Lodge,Deer Valley,40.61442062316093,-111.51298418240138,8439.2,1624,-3718,16,1624_-3718_16,WG015,40.62070537872283,-111.51305445334124,8305.02,5,8146.4,8439.2,134.1800000000003
Johns 99,Deer Valley,40.62450457371346,-111.51231498110546,8231.6,1624,-3718,16,1624_-3718_16,WG015,40.62070537872283,-111.51305445334124,8305.02,5,8146.4,8439.2,73.42000000000007
Link,Deer Valley,40.624117394272574,-111.51614328186776,8385.3,1624,-3718,16,1624_-3718_16,WG015,40.62070537872283,-111.51305445334124,8305.02,5,8146.4,8439.2,80.27999999999884
Little Chief,Deer Valley,40.61872839208637,-111.51243052868438,8322.6,1624,-3718,16,1624_-3718_16,WG015,40.62070537872283,-111.51305445334124,8305.02,5,8146.4,8439.2,17.579999999999927
Ore Cart,Deer Valley,40.621755910380834,-111.51139929264724,8146.4,1624,-3718,16,1624_-3718_16,WG015,40.62070537872283,-111.51305445334124,8305.02,5,8146.4,8439.2,158.6200000000008
Black Forest,Deer Valley,40.61940428916709,-111.52036519166067,8929.3,1624,-3718,17,1624_-3718_17,WG016,40.61430204364837,-111.51910832988777,8811.65,12,8599.5,8958.8,117.64999999999964
Bonanza Loop Trail,Deer Valley,40.60282163896819,-111.52815381158308,8908.5,1624,-3718,17,1624_-3718_17,WG016,40.61430204364837,-111.51910832988777,8811.65,12,8599.5,8958.8,96.85000000000036
Corvair,Deer Valley,40.61099169805087,-111.51230389508405,8648.6,1624,-3718,17,1624_-3718_17,WG016,40.61430204364837,-111.51910832988777,8811.65,12,8599.5,8958.8,163.04999999999927
Corvair (Upper),Deer Valley,40.60840912265719,-111.51090449857222,8883.3,1624,-3718,17,1624_-3718_17,WG016,40.61430204364837,-111.51910832988777,8811.65,12,8599.5,8958.8,71.64999999999964
