distance_meters,distance_miles,elevation_meters,elevation_feet
2220.0,1.3794440467668814,2272.958740234375,7457.2139533105465
2240.0,1.391871470611628,2273.653076171875,7459.491958427734
2260.0,1.4042988944563748,2270.129150390625,7447.930521767578
2280.0,1.4167263183011214,2271.4873046875,7452.386408710938
2300.0,1.429153742145868,2269.805419921875,7446.8684138964845
2320.0,1.4415811659906148,2267.138671875,7438.119240234375
2340.0,1.4540085898353614,2265.97314453125,7434.295331503906
2360.0,1.4664360136801082,2264.756103515625,7430.302414658203
2380.0,1.4788634375248548,2262.29638671875,7422.232477402344
2400.0,1.4912908613696014,2260.581787109375,7416.607150419922
2420.0,1.5037182852143482,2260.647705078125,7416.823416728515
2440.0,1.5161457090590948,2256.57861328125,7403.4733775976565
2460.0,1.5285731329038414,2259.2470703125,7412.228158164063
2480.0,1.5410005567485883,2254.93359375,7398.07633171875
2500.0,1.5534279805933349,2253.419189453125,7393.10781352539
2520.0,1.5658554044380815,2256.294189453125,7402.54022852539
2540.0,1.5782828282828283,2251.431884765625,7386.587784814453
2560.0,1.5907102521275749,2252.530517578125,7390.192223291016
2580.0,1.6031376759723215,2249.32275390625,7379.668063925781
2600.0,1.6155650998170683,2247.483154296875,7373.632631943359
2620.0,1.627992523661815,2244.630126953125,7364.272305712891
2640.0,1.6404199475065617,2242.6904296875,7357.908469335937
2660.0,1.6528473713513083,2241.091796875,7352.663610859375
2680.0,1.665274795196055,2241.523193359375,7354.0789537011715
2700.0,1.6777022190408017,2239.69970703125,7348.096386816406
2720.0,1.6901296428855483,2240.400634765625,7350.396018564453
2740.0,1.702557066730295,2237.74462890625,7341.682088300781
2760.0,1.7149844905750418,2235.961669921875,7335.832485146484
2780.0,1.7274119144197884,2235.571044921875,7334.550907021484
2800.0,1.739839338264535,2233.968505859375,7329.293232763672
2820.0,1.7522667621092818,2231.707763671875,7321.876099365234
2840.0,1.7646941859540284,2232.0068359375,7322.857307617188
2860.0,1.7771216097987752,2229.972412109375,7316.182688544922
2880.0,1.7895490336435218,2229.233154296875,7313.757301943359
2900.0,1.8019764574882684,2226.83740234375,7305.897223105469
2920.0,1.8144038813330152,2224.05126953125,7296.756367128906
2940.0,1.8268313051777618,2223.604736328125,7295.291363134766
2960.0,1.8392587290225084,2221.674072265625,7288.957163251953
2980.0,1.8516861528672552,2219.446044921875,7281.647362021485
3000.0,1.8641135767120018,2220.0361328125,7283.583345976563
3020.0,1.8765410005567484,2218.66552734375,7279.0866087304685
3040.0,1.8889684244014953,2218.3359375,7278.0052771875
3060.0,1.9013958482462419,2218.047607421875,7277.059312333984
3080.0,1.9138232720909885,2218.97216796875,7280.092647558594
3100.0,1.9262506959357353,2219.209716796875,7280.872007255859
3120.0,1.9386781197804819,2219.677734375,7282.407498046875
3140.0,1.9511055436252287,2217.94775390625,7276.731708925781
3160.0,1.9635329674699753,2217.130859375,7274.051608671875
3180.0,1.975960391314722,2216.97998046875,7273.556599121093
3200.0,1.9883878151594687,2216.72705078125,7272.7267772851565
3220.0,2.0008152390042153,2211.991455078125,7257.1900454785155
3240.0,2.013242662848962,2213.966796875,7263.670825859375
3260.0,2.0256700866937085,2209.821533203125,7250.070878994141
3280.0,2.0380975105384556,2210.52294921875,7252.372112714844
3300.0,2.050524934383202,2213.29345703125,7261.461705566407
3320.0,2.0629523582279488,2207.034423828125,7240.926819072266
3340.0,2.0753797820726954,2208.397216796875,7245.397924755859
3360.0,2.087807205917442,2208.01416015625,7244.141177207031
3380.0,2.1002346297621886,2205.027587890625,7234.342711455078
3400.0,2.1126620536069356,2202.92333984375,7227.439010292968
3420.0,2.125089477451682,2199.832763671875,7217.2993243652345
3440.0,2.137516901296429,2198.729248046875,7213.678866162109
