u,v,key,osmid,trail_name,highway,length_meters,length_miles
1509433134,3066001889,0,302343123,Miner's Mile,track,214.47878694419387,0.13327093955313088
1509433134,3066001913,0,1079642634,Miner's Mile,track,26.471511608198192,0.016448634728310537
1509433145,9545984023,0,803571176,McConkeys,track,719.3108955956096,0.4469590687855484
1509433145,3635410674,0,1103583270,Webster Road,track,181.73223564745985,0.11292317593221825
1509433145,1793626877,0,1103583270,Webster Road,track,279.0172685789825,0.17337329283172678
1509433193,3635410650,0,358640062,Two Step,path,95.1696595037244,0.05913568479065035
1509433193,3635410674,0,358640063,Keystone Trail,path,662.5362970494318,0.4116809687981139
1509433193,3066001913,0,1079868975,Thaynes Road,track,67.24511834146819,0.041784179355978696
1509433193,9896382028,0,1079868975,Thaynes Road,track,476.1736897513028,0.2958806133128174
1509433348,9869072987,0,309481196,Keystone Trail,path,195.18973560075622,0.12128527872273188
1509433348,9898209242,0,1036099764,Keystone Trail,path,454.2739104039679,0.28227272131002934
1509433348,3635410674,0,1103583270,Webster Road,track,184.7171948582389,0.11477794359579985
1510679468,9900613576,0,1080124233,Claim Jumper,track,135.0934858340211,0.08394320035618308
1510679468,2481633195,0,1080124233,Claim Jumper,track,582.1914902241658,0.3617570203910201
1510695247,9900613486,0,518591517,H.A.M.,path,107.72970047759254,0.06694013242513257
1510695247,9900613473,0,518591517,H.A.M.,path,847.1529569687744,0.5263964428790703
1510717206,9499107978,0,302345047,CMG,path,1019.1900310361499,0.6332953247013379
1510717206,5941576034,0,302345047,CMG,path,179.19077508095285,0.11134398554998362
1510717206,9898526055,0,1079883746,Gotcha Cuttoff,track,1638.000519892759,1.0178063359311365
1510717206,3732774704,0,1079883746,Gotcha Cuttoff,track,243.31964933879564,0.15119182060441747
1510735343,3727506402,0,368909393,Sweeney Switchbacks,path,614.0139028771277,0.3815305508810594
1510735343,5058230649,0,702340529,Trestle,path,70.20122267433283,0.04362101742966875
1510735343,5058230652,0,1103646561,Sweeneys,path,140.42610607041206,0.08725673695021827
1510742046,9898395957,0,1343884061,Meadow Road,track,14.097304560813381,0.008759658942285416
