date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precip_1d,precip_3d,precip_7d,mean_temp_3d,mean_temp_7d,freeze_thaw,freeze_thaw_3d,freeze_thaw_7d,snowfall_3d,snowfall_7d,days_since_precip
2026-01-20,41.3,13.4,22.8,0.0,0.0,0.0,0.0,0.0,0.0,25.266666666666655,27.25714285714286,1,3.0,7.0,0.0,0.0,11
2026-01-21,42.5,16.8,26.1,0.0,0.0,0.0,0.0,0.0,0.0,24.333333333333325,26.157142857142855,1,3.0,7.0,0.0,0.0,12
2026-01-22,43.2,18.4,27.1,0.0,0.0,0.0,0.0,0.0,0.0,25.333333333333325,25.657142857142855,1,3.0,7.0,0.0,0.0,13
2026-01-23,36.7,18.4,25.9,0.008,0.0,0.055,0.008,0.008000000000000444,0.007999999999999556,26.36666666666666,25.67142857142857,1,3.0,7.0,0.055000000000002665,0.05499999999999867,14
2026-01-24,26.0,4.2,16.3,0.0,0.0,0.0,0.0,0.008000000000000444,0.007999999999999556,23.09999999999999,24.45714285714286,0,2.0,6.0,0.055000000000002665,0.05499999999999867,15
2026-01-25,20.0,-0.2,9.8,0.02,0.0,0.138,0.02,0.028000000000000445,0.027999999999999556,17.333333333333325,21.728571428571428,0,1.0,5.0,0.19300000000000267,0.19299999999999867,0
2026-01-26,36.0,3.8,18.6,0.0,0.0,0.0,0.0,0.020000000000000445,0.027999999999999556,14.899999999999991,20.942857142857147,1,1.0,5.0,0.13800000000000268,0.19299999999999867,1
2026-01-27,40.6,19.6,27.4,0.0,0.0,0.0,0.0,0.020000000000000445,0.027999999999999556,18.59999999999999,21.599999999999998,1,2.0,5.0,0.13800000000000268,0.19299999999999867,2
2026-01-28,39.1,21.6,26.9,0.067,0.0,0.469,0.067,0.06700000000000045,0.09499999999999956,24.299999999999994,21.714285714285715,1,3.0,5.0,0.46900000000000264,0.6619999999999986,0
2026-01-29,35.2,13.9,23.0,0.0,0.0,0.0,0.0,0.06700000000000045,0.09499999999999956,25.766666666666655,21.12857142857143,1,3.0,5.0,0.46900000000000264,0.6619999999999986,1
2026-01-30,39.6,13.7,25.8,0.0,0.0,0.0,0.0,0.06700000000000045,0.08699999999999955,25.233333333333324,21.114285714285717,1,3.0,5.0,0.46900000000000264,0.6069999999999987,2
2026-01-31,46.3,24.7,32.7,0.0,0.0,0.0,0.0,0.0,0.08699999999999955,27.166666666666657,23.457142857142856,1,3.0,6.0,0.0,0.6069999999999987,3
2026-02-01,48.1,28.6,36.2,0.0,0.0,0.0,0.0,0.0,0.06699999999999956,31.56666666666666,27.22857142857143,1,3.0,7.0,0.0,0.46899999999999864,4
2026-02-02,42.2,20.5,32.5,0.0,0.0,0.0,0.0,0.0,0.06699999999999956,33.79999999999999,29.214285714285715,1,3.0,7.0,0.0,0.46899999999999864,5
