date,trail_name,final_area,weather_group_id,trail_latitude,trail_longitude,trail_elevation_feet,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum
2026-08-26,Gambel Oak Cut,Round Valley,WG045,40.65967079074984,-111.47871602858976,7240.9,3,79.7,57.6,69.4,0.0,0.0,0.0
2026-08-26,Gambel Oak North,Park City / PCMR,WG047,40.65915752473873,-111.48180315635692,7112.6,3,80.0,57.9,69.7,0.0,0.0,0.0
2026-08-26,Gambel Oak Trail,Park City / PCMR,WG031,40.64847351910524,-111.48419757905585,7408.0,3,78.1,60.9,69.5,0.0,0.0,0.0
2026-08-26,Gap Bypass Trail,Deer Valley,WG028,40.64123747413292,-111.47577580871994,7306.6,3,78.5,61.3,69.9,0.0,0.0,0.0
2026-08-26,Gap Loop,Deer Valley,WG028,40.6409109833561,-111.47399614902376,7445.8,3,78.5,61.3,69.9,0.0,0.0,0.0
2026-08-26,Glenwild Loop,Jeremy Ranch / Glenwild,WG075,40.73989427988239,-111.52813430357229,6701.6,3,81.4,57.5,69.7,0.0,0.0,0.0
2026-08-26,Glenwild Loop / Wasatch,Jeremy Ranch / Glenwild,WG074,40.74589846722535,-111.509614206256,6451.3,3,83.5,58.3,70.7,0.0,0.0,0.0
2026-08-26,Gold Finger,Park City / PCMR,WG053,40.65997467243904,-111.55431689925648,8081.9,3,72.8,58.9,66.0,0.0,0.0,0.0
2026-08-26,Golden Needle,Park City / PCMR,WG008,40.59452078975266,-111.56725110409884,9811.4,3,66.7,51.3,58.2,0.0,0.0,0.0
2026-08-26,Gorgoza Park,Pinebrook,WG089,40.75144469967726,-111.581432624726,6619.5,3,83.3,57.4,71.2,0.0,0.0,0.0
2026-08-26,Gotcha Cuttoff,Park City / PCMR,WG035,40.64587964864319,-111.5166123821088,7673.2,3,77.5,60.1,68.8,0.0,0.0,0.0
2026-08-26,Grave Digger,Deer Valley,WG032,40.62962271716946,-111.50201210924322,7682.6,3,76.8,59.6,68.1,0.0,0.0,0.0
2026-08-26,Great Western Trail,Wasatch Crest / Millcreek,WG092,40.77286580912175,-111.6406537725031,7571.3,53,80.4,55.3,67.7,0.028,0.028,0.0
2026-08-26,Great Western Trail / Great Western Trail bypass,Wasatch Crest / Millcreek,WG091,40.7535574542296,-111.6313027356856,7111.8,3,81.3,58.6,70.1,0.0,0.0,0.0
2026-08-26,H.A.M.,Park City / PCMR,WG035,40.64547382276132,-111.53139851516626,7780.5,3,77.5,60.1,68.8,0.0,0.0,0.0
2026-08-26,Hang Time South,Park City / PCMR,WG046,40.65853660632904,-111.49606808644194,6970.8,3,81.1,58.9,70.7,0.0,0.0,0.0
2026-08-26,Happy Gilmor,Round Valley,WG067,40.70712360033319,-111.5014684546231,6569.0,3,83.0,55.5,69.4,0.0,0.0,0.0
2026-08-26,Happy Trailside,Round Valley,WG067,40.708413441306845,-111.50471867526606,6595.6,3,83.0,55.5,69.4,0.0,0.0,0.0
2026-08-26,Hat Trick Trail,Round Valley,WG055,40.678830976721535,-111.47596646172724,6757.0,3,82.2,55.5,69.3,0.0,0.0,0.0
2026-08-26,Heard It Both Ways Trail,Deer Valley,WG004,40.593082879194085,-111.49125770411068,8855.0,3,72.5,55.4,63.2,0.0,0.0,0.0
2026-08-26,Hidden Cove,Summit Park,WG089,40.756655895607175,-111.597334386164,6686.2,3,83.3,57.4,71.2,0.0,0.0,0.0
2026-08-26,High Meadows Connector,Pinebrook,WG076,40.74134938710701,-111.56847869190176,6429.9,3,82.2,58.3,70.5,0.0,0.0,0.0
2026-08-26,High Side,Round Valley,WG055,40.69388247977245,-111.4770589235944,6909.3,3,82.2,55.5,69.3,0.0,0.0,0.0
2026-08-26,Holly's,Pinebrook,WG063,40.68604417524608,-111.57782170773478,7824.2,3,76.5,59.2,68.2,0.0,0.0,0.0
2026-08-26,Holy Roller,Deer Valley,WG013,40.6113609111251,-111.48708066137604,8716.2,3,72.1,55.0,62.9,0.0,0.0,0.0
2026-08-26,Humdinger,Deer Valley,WG029,40.626356336628135,-111.46720603877804,7537.3,3,77.2,60.0,68.5,0.0,0.0,0.0
2026-08-26,Insurgent,Jeremy Ranch / Glenwild,WG063,40.68610182305705,-111.58195303109213,7873.2,3,76.5,59.2,68.2,0.0,0.0,0.0
2026-08-26,Io Trail (Middle),Deer Valley,WG017,40.61025792344493,-111.52770861008732,9342.5,3,68.5,54.0,61.3,0.0,0.0,0.0
2026-08-26,Iron Bill,Jeremy Ranch / Glenwild,WG071,40.70817834974828,-111.55726593666238,7034.2,3,79.3,57.5,69.0,0.0,0.0,0.0
2026-08-26,Iron Man,Park City / PCMR,WG053,40.6585520468376,-111.5452566956134,8305.8,3,72.8,58.9,66.0,0.0,0.0,0.0
2026-08-26,Iron Mountain Trail,Park City / PCMR,WG054,40.65649532455427,-111.54475504732362,8753.8,3,70.8,56.9,64.0,0.0,0.0,0.0
2026-08-26,Izzy's Inferno (Dog Pound),Deer Valley,WG012,40.619811878384205,-111.48856422719636,8193.5,3,73.9,57.6,65.7,0.0,0.0,0.0
2026-08-26,Jailbreak,Jeremy Ranch / Glenwild,WG085,40.75712939272894,-111.56214780445411,6277.4,3,84.6,58.7,72.5,0.0,0.0,0.0
2026-08-26,Jeep Hill (Safety Coridoor),Deer Valley,WG013,40.60451306969404,-111.50923514571896,8820.6,3,72.1,55.0,62.9,0.0,0.0,0.0
2026-08-26,Jenni's Trail,Park City / PCMR,WG034,40.64869166733497,-111.51220769740809,7207.7,3,78.9,61.4,70.1,0.0,0.0,0.0
2026-08-26,Jenni's Trail upper,Park City / PCMR,WG035,40.63937813819639,-111.5112423147728,7789.7,3,77.5,60.1,68.8,0.0,0.0,0.0
2026-08-26,Johns '99,Park City / PCMR,WG033,40.62911828578874,-111.50998374795329,8128.2,3,74.4,59.4,66.3,0.0,0.0,0.0
2026-08-26,Johns 99,Deer Valley,WG015,40.62450457371346,-111.51231498110546,8231.6,3,73.7,58.8,65.6,0.0,0.0,0.0
2026-08-26,Johns Trail,Park City / PCMR,WG033,40.63760825426597,-111.50539626371148,8041.4,3,74.4,59.4,66.3,0.0,0.0,0.0
2026-08-26,Jordanelle (West Bank) Trail,Jordanelle,WG026,40.63639192686843,-111.4311179892118,6210.9,3,84.0,59.7,72.1,0.0,0.0,0.0
2026-08-26,Jordanelle Perimeter Trail,Jordanelle,WG024,40.633349610731685,-111.4121970547725,6216.7,3,84.2,59.9,72.3,0.0,0.0,0.0
